StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Age,Gender.,Gender._4_TEXT,Musicianship,QID41,Gold.MSI.Q1,Gold.MSI.Q2,Gold.MSI.Q3,Example.,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Feedback
2024-11-19 00:52:33,2024-11-19 01:01:34,IP Address,90.218.135.109,100,541,True,2024-11-19 01:01:35,R_21szMSz1jIX3SHO,,,,,52.0686,1.1443,anonymous,EN-GB,I understand the conditions of this study,59,Female,,Music-loving nonmusician,,1,3,0-15 minutes,Tenderness,Sadness,Happiness,Sadness,Sadness,Fear,Sadness,Fear,Sadness,Anger,Fear,Fear,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Fear,Sadness,Happiness,Tenderness,Anger,Fear,Very interesting
2024-11-19 01:10:39,2024-11-19 01:23:56,IP Address,86.180.248.181,100,797,True,2024-11-19 01:23:56,R_2e310l6dE9bTAos,,,,,52.0444,1.1273,anonymous,EN-GB,I understand the conditions of this study,67,Female,,Music-loving nonmusician,"I always listen to music, and try to listen to different genres ",0,0,15-30 minutes,Tenderness,Anger,Anger,Sadness,Sadness,Happiness,Sadness,Anger,Tenderness,Sadness,Fear,Fear,Happiness,Tenderness,Happiness,Happiness,Fear,Happiness,Happiness,Tenderness,Fear,Sadness,Tenderness,Tenderness,Tenderness,Fear,"Generally all good, only sometimes slight doubt about what feeling could be better to choose "
2024-11-19 01:22:28,2024-11-19 01:30:50,IP Address,84.71.67.123,100,502,True,2024-11-19 01:30:51,R_2fcJNHNkGrkF9es,,,,,51.5978,0.3371,anonymous,EN-GB,I understand the conditions of this study,53,Female,,Amateur musician,Grade 8 cello and grade 6 piano by aged 15 I got a music scholarship to my school. But I now just play for special family occasions ,10+,2,30-60 minutes,Tenderness,Fear,Anger,Tenderness,Anger,Sadness,Sadness,Fear,Tenderness,Sadness,Fear,Fear,Sadness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Fear,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-19 01:24:45,2024-11-19 01:36:34,IP Address,31.94.60.55,100,708,True,2024-11-19 01:36:34,R_2PpBeMt69okfaqL,,,,,51.2337,-0.2131,anonymous,EN-GB,I understand the conditions of this study,57,Female,,Music-loving nonmusician,,0,11+,15-30 minutes,Sadness,Fear,Anger,Fear,Tenderness,Sadness,Happiness,Anger,Sadness,Sadness,Anger,Fear,Happiness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Tenderness,Fear,Sadness,Happiness,Sadness,Anger,Fear,
2024-11-19 01:40:46,2024-11-19 01:46:22,IP Address,81.178.202.108,100,336,True,2024-11-19 01:46:23,R_2TKTVJENgpfSdgg,,,,,52.0435,1.1842,anonymous,EN-GB,I understand the conditions of this study,52,Female,,Nonmusician,,2,0,15-30 minutes,Tenderness,Fear,Fear,Sadness,Tenderness,Happiness,Happiness,Anger,Happiness,Anger,Fear,Fear,Sadness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Sadness,Happiness,Happiness,Tenderness,Tenderness,Anger,Fear,Short sound bits are much harder to judge 
2024-11-19 09:16:51,2024-11-19 09:21:34,IP Address,87.75.140.73,100,283,True,2024-11-19 09:21:35,R_8gpFXgk7zbpHzp1,,,,,53.5534,-2.1119,anonymous,EN-GB,I understand the conditions of this study,21,Male,,Amateur musician,"Recently started learning the drums, have previous experience with steel pan drums, saxophone, and piano.",6-9,2,30-60 minutes,Happiness,Fear,Anger,Tenderness,Anger,Happiness,Sadness,Anger,Tenderness,Fear,Fear,Anger,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Happiness,Sadness,Anger,Tenderness,Happiness,Happiness,Fear,Fear,
2024-11-19 09:12:33,2024-11-19 09:21:46,IP Address,172.58.165.70,100,552,True,2024-11-19 09:21:46,R_5GvUC0ySn3WHJZu,,,,,41.923,-87.7531,anonymous,EN-GB,I understand the conditions of this study,20,Male,,Serious amateur musician,"I have played guitar since was 6, upright bass since i was 12, currently in a boston based rock band. I do music more of a hobby, and less as a career, but im extremely confident about my passion and skill",10+,11+,60-90 minutes,Happiness,Fear,Anger,Tenderness,Anger,Fear,Sadness,Anger,Tenderness,Sadness,Anger,Anger,Happiness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,I think slight more variety in emotion or just a box saying “elaborate if any other ideas” could have been nice because some of music samples provided game a depth of emotion that wasnt necessarily one of the 5 provided but still had a positive/negative connotation that could have been analyzed
2024-11-19 09:31:15,2024-11-19 09:36:26,IP Address,88.97.196.83,100,310,True,2024-11-19 09:36:26,R_8K1RdGsyr74sMHD,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,20,Male,,Amateur musician,,2,2,4 hours or more,Tenderness,Fear,Anger,Sadness,Anger,Happiness,Sadness,Anger,Tenderness,Happiness,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-19 09:29:26,2024-11-19 09:38:01,IP Address,46.65.116.36,100,514,True,2024-11-19 09:38:01,R_2ZZicao2jOjkmK5,,,,,54.9749,-1.6451,anonymous,EN-GB,I understand the conditions of this study,21,Prefer not to say,,Serious amateur musician,"Regularly listen to music, been in various ensembles ",10+,11+,15-30 minutes,Tenderness,Anger,Sadness,Happiness,Happiness,Sadness,Tenderness,Anger,Tenderness,Sadness,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Tenderness,Sadness,Fear,"The short ones, you can’t really define them outside of the wider context"
2024-11-19 09:38:30,2024-11-19 09:53:09,IP Address,86.176.212.164,100,879,True,2024-11-19 09:53:10,R_8PheBwHgwfEC92v,,,,,54.7851,-1.6292,anonymous,EN-GB,I understand the conditions of this study,19,Non-binary,,Music-loving nonmusician,"I am not a musician, I love music",0,4-6,4 hours or more,Happiness,Fear,Sadness,Tenderness,Sadness,Sadness,Sadness,Anger,Happiness,Anger,Fear,Anger,Tenderness,,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Happiness,Tenderness,Sadness,Sadness,Fear,One audio file didn't play
2024-11-19 09:44:09,2024-11-19 09:54:39,IP Address,31.94.60.43,100,629,True,2024-11-19 09:54:39,R_8phTHa9BvRPteOJ,,,,,51.2337,-0.2131,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Amateur musician,I play guitar and piano mediocrely and I sing,3,0,0-15 minutes,Happiness,Fear,Anger,Tenderness,Sadness,Fear,Sadness,Fear,Sadness,Anger,Anger,Fear,Tenderness,Fear,Sadness,Fear,Fear,Happiness,Anger,Tenderness,Fear,Tenderness,Happiness,Tenderness,Anger,Fear,
2024-11-19 09:49:21,2024-11-19 09:55:37,IP Address,174.235.210.218,100,376,True,2024-11-19 09:55:38,R_1wFBUN9099O2zYl,,,,,43.5514,-96.7018,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Amateur musician,"I love music and making music, but when it comes to practicing my instrument, I don’t do it. I want to keep it fun and not A chore",10+,11+,30-60 minutes,Tenderness,Fear,Anger,Happiness,Happiness,Sadness,Tenderness,Happiness,Tenderness,Fear,Fear,,Tenderness,Fear,Tenderness,Fear,Happiness,Happiness,Happiness,Tenderness,Anger,Happiness,Happiness,Tenderness,Anger,Fear,
2024-11-19 10:04:47,2024-11-19 10:10:47,IP Address,129.234.0.161,100,360,True,2024-11-19 10:10:48,R_2FOPK7MdYsz9kb3,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,18,Male,,Music-loving nonmusician,,10+,7-10,60-90 minutes,Tenderness,Fear,Anger,Sadness,Fear,Fear,Sadness,Anger,Sadness,Fear,Fear,Anger,Happiness,Fear,Tenderness,Happiness,Sadness,Happiness,Fear,Tenderness,Fear,Happiness,Happiness,Tenderness,Anger,Fear,
2024-11-19 10:03:43,2024-11-19 10:12:07,IP Address,129.234.0.164,100,504,True,2024-11-19 10:12:08,R_8VI8siDJqKDxK7K,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,19,Non-binary,,Amateur musician,studied piano in an extra-academic capacity for last 10 years,10+,4-6,0-15 minutes,Tenderness,Sadness,Happiness,Sadness,Anger,Fear,Happiness,Happiness,Sadness,Anger,Anger,Anger,Fear,Happiness,Fear,Happiness,Fear,Happiness,Tenderness,Tenderness,Anger,Sadness,Happiness,Fear,Fear,Fear,
2024-11-19 10:06:01,2024-11-19 10:12:35,IP Address,129.234.0.176,100,394,True,2024-11-19 10:12:36,R_84qGPZYdmLLoEu4,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Amateur musician,I play ukulele/guitar and sing a little but not well! ,3,3,30-60 minutes,Sadness,Fear,Anger,Tenderness,Sadness,Happiness,Anger,Fear,Tenderness,Fear,Anger,Anger,Happiness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,was interesting! guessing there’s a scientific reason for why the extracts were so short (obviously…)
2024-11-19 10:04:58,2024-11-19 10:13:55,IP Address,88.97.195.105,100,537,True,2024-11-19 10:13:55,R_85R8kGMQmNo8gyI,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,20,Prefer not to say,,Music-loving nonmusician,"I know a bit of musical theory through dance terms, I know a few instruments but not enough to play a full song, but I do love music.",2,1,60-90 minutes,Happiness,Fear,Fear,Sadness,Sadness,Tenderness,Sadness,Fear,Happiness,Sadness,Anger,Anger,Tenderness,Sadness,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-19 10:27:40,2024-11-19 10:35:52,IP Address,204.144.210.225,100,491,True,2024-11-19 10:35:52,R_3sZOwAhApmT60ij,,,,,41.6622,-91.5149,anonymous,EN-GB,I understand the conditions of this study,20,Non-binary,,Amateur musician,,1,11+,2-3 hours,Tenderness,Fear,Fear,Tenderness,Tenderness,Sadness,Anger,Happiness,Tenderness,Fear,Fear,Happiness,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,,Anger,Sadness,Happiness,Tenderness,Anger,Fear,Why is it that the options are limited to five? What is stopping you from having participants answer in a free response manner? Thank you!
2024-11-19 11:46:56,2024-11-19 11:52:02,IP Address,88.97.198.0,100,306,True,2024-11-19 11:52:03,R_2IYqH4QcIHPcrVi,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Serious amateur musician,"Played various instruments from the age of 6, orchestrally from 10.",10+,4-6,0-15 minutes,Tenderness,Fear,Anger,Fear,Sadness,Happiness,Sadness,Happiness,Sadness,Fear,Anger,Anger,Tenderness,Sadness,Sadness,Happiness,Fear,Happiness,Anger,Sadness,Anger,Tenderness,Happiness,Sadness,Anger,Fear,
2024-11-19 11:58:42,2024-11-19 12:05:15,IP Address,109.147.228.167,100,392,True,2024-11-19 12:05:16,R_2P4XCccFmpCjB7g,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,19,Prefer not to say,,Serious amateur musician,Doing ba music but not that good a performer :(,3,1,0-15 minutes,Tenderness,Fear,Anger,Sadness,Anger,Anger,Sadness,Anger,Sadness,Fear,Anger,Fear,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Sadness,Anger,Fear,Gl with your music and science module :)
2024-11-19 12:02:42,2024-11-19 12:09:26,IP Address,94.4.21.136,100,403,True,2024-11-19 12:09:26,R_8uvLcddZD9wwX2a,,,,,55.0168,-1.451,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Music-loving nonmusician,I love music and come from a family of musicians but never really had an music training myself :),0,11+,60-90 minutes,Tenderness,Fear,Happiness,Sadness,Sadness,Fear,Anger,Anger,Happiness,Anger,Anger,Anger,Sadness,Happiness,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Happiness,Sadness,Happiness,Tenderness,Fear,Fear,Survey was great and super accessible! 
2024-11-19 14:22:15,2024-11-19 14:27:11,IP Address,134.161.33.141,100,295,True,2024-11-19 14:27:12,R_3znWyhiIdN8vagJ,,,,,42.5243,-92.4479,anonymous,EN-GB,I understand the conditions of this study,19,Non-binary,,Amateur musician,While I know some piano and ukulele I don’t play them a whole lot but I love music!,4-5,2,15-30 minutes,Tenderness,Fear,Fear,Tenderness,Anger,Happiness,Sadness,Anger,Tenderness,Fear,Fear,Anger,Tenderness,Anger,Sadness,Happiness,Fear,Happiness,Fear,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-19 14:44:18,2024-11-19 14:51:03,IP Address,204.144.199.193,100,405,True,2024-11-19 14:51:04,R_1KPyWliNDAlhjGe,,,,,42.0441,-91.6006,anonymous,EN-GB,I understand the conditions of this study,19,Non-binary,,Amateur musician,,6-9,2,4 hours or more,Tenderness,Anger,Anger,Sadness,Happiness,Sadness,Fear,Fear,Tenderness,Fear,Anger,Anger,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Sadness,Tenderness,Sadness,Anger,Fear,
2024-11-19 16:38:32,2024-11-19 16:38:55,IP Address,204.144.197.206,100,23,True,2024-11-19 16:38:56,R_505Et05unx8B2Vf,,,,,42.0441,-91.6006,anonymous,EN-GB,I understand the conditions of this study,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-19 19:56:03,2024-11-19 20:04:58,IP Address,173.23.151.111,100,535,True,2024-11-19 20:04:59,R_1FKZmrzpOnRKPpA,,,,,42.0228,-91.6572,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Music-loving nonmusician,"I've tried out some instruments before and they can be pretty difficult like anything else lol, but I'm not too interested in practicing instruments. I absolutely love music though <3",0,0,2-3 hours,Happiness,Fear,Sadness,Sadness,Sadness,Fear,Sadness,Fear,Tenderness,Fear,Fear,Anger,Sadness,Fear,Sadness,Tenderness,Fear,Fear,Sadness,Sadness,Anger,Sadness,Tenderness,Sadness,Anger,Fear,"Some were a bit hard to hear due to being really quiet, but otherwise, I loved it!"
2024-11-20 01:40:03,2024-11-20 01:46:17,IP Address,104.28.89.29,100,373,True,2024-11-20 01:46:17,R_2bZ3tq6EIWxyTxG,,,,,53.481,-2.2367,anonymous,EN-GB,I understand the conditions of this study,22,Female,,Serious amateur musician,,6-9,1,0-15 minutes,Tenderness,Fear,Anger,Tenderness,Anger,Fear,Sadness,Happiness,Tenderness,Happiness,Fear,Fear,Sadness,Happiness,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Happiness,Tenderness,Happiness,Tenderness,Anger,Fear,
2024-11-20 04:16:57,2024-11-20 04:38:13,IP Address,82.132.185.236,100,1276,True,2024-11-20 04:38:14,R_8ir2k1ilGoO2Sbp,,,,,51.4964,-0.1224,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Serious amateur musician,"I played the piano for 10 years, but did not practice regularly and only achieved grade 6. I also took music gcse, but I have not played the piano in 2 years now.",1,1,0-15 minutes,Happiness,Fear,Fear,Sadness,Anger,Fear,Sadness,Fear,,Fear,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Fear,Sadness,Happiness,Tenderness,Anger,Fear,"There was one I accidentally didn’t answer as I misclicked on next. For that one, I meant to click tenderness."
2024-11-20 21:57:01,2024-11-20 22:06:08,IP Address,50.82.184.221,100,547,True,2024-11-20 22:06:09,R_1eR7hEaty2ndlrT,,,,,41.9769,-91.7084,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Amateur musician,"Have done musical theatre, various choir and dance groups, and played many instruments throughout my life ",10+,4-6,60-90 minutes,Tenderness,Fear,Anger,Sadness,Anger,Happiness,Sadness,Fear,Happiness,Fear,Fear,Fear,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Fear,Happiness,Sadness,Anger,Fear,This was fun :D
